# Column descriptions
# time - UTC
# observation_id - CPS internal ID
# tel - Instrument
# bjd - BJD_TDB
# mnvel - Relative RV [m/s]
# errvel - RV uncertainty [m/s]
# cts - Counts in raw 1D spectrum near 5500 Angstroms [e-]
# chi - Median reduced chi-squared for the observation over all chunks
# bc - Barycentric velocity at flux-weighted midpoint [m/s]
# svalue - Ca_HK S value
# svalue_err - Ca_HK S value uncertainty
# trv - Telluric calibrated absolute RV [km/s]
# trv_err - Uncertainty in telluric-calibrated absolute RV [km/s]
time,observation_id,tel,bjd,mnvel,errvel,cts,mdchi,bc,svalue,svalue_err,trv,trv_err
2021-01-23 06:24:40.666,j400.265,hires_j,2459237.767137,0.887397509246739,1.91722321510315,23349.0,1.12411880493164,-26140.659,0.1457,0.001,41.48,0.1
2021-02-24 05:13:14.236,j401.570,hires_j,2459269.717526,3.66542177872938,1.54035842418671,23941.0,1.12593150138855,-18290.888,0.1522,0.001,41.33,0.1
2021-07-10 14:52:23.114,j420.286,hires_j,2459406.119712,-5.4439869746529,1.42554116249084,45349.0,1.19533705711365,26272.409,0.1453,0.001,41.3,0.1
2021-07-14 14:35:28.092,j420.879,hires_j,2459410.107964,0.491719602584325,1.46295750141144,45578.0,1.16211676597595,26169.368,0.1441,0.001,41.3,0.1
2021-07-16 14:22:32.913,j421.116,hires_j,2459412.098992,2.58066486566182,1.65077793598175,36429.0,1.21939897537231,26078.929,0.1185,0.001,41.37,0.1
2021-07-22 15:03:02.439,j421.1154,hires_j,2459418.127112,-3.69112356575449,1.35284674167633,45818.0,1.15835201740265,25503.276,0.1434,0.001,41.18,0.1
2021-07-25 13:36:25.855,j421.1406,hires_j,2459421.066966,-4.42399117198764,1.47978818416595,44673.0,1.15169155597687,25309.257,0.1459,0.001,41.41,0.1
2021-08-15 15:09:26.342,j425.195,hires_j,2459442.131555,-5.50945931385889,1.28278422355652,45815.0,1.15172398090363,20985.729,0.142,0.001,41.3,0.1
2021-08-20 11:53:33.923,j426.692,hires_j,2459446.995532,-2.41316094579355,1.32661843299866,44856.0,1.14758265018463,19950.25,0.1371,0.001,41.49,0.1
2021-08-22 13:44:29.525,j427.95,hires_j,2459449.072564,-8.19378162788004,1.33166992664337,45336.0,1.14520359039307,19141.35,0.1411,0.001,41.42,0.1
2021-08-23 14:09:58.052,j427.315,hires_j,2459450.090255,-5.96028180498522,1.13658511638641,45534.0,1.16740214824677,18781.058,0.1446,0.001,41.16,0.1
2021-09-13 10:22:26.553,j429.192,hires_j,2459470.932252,1.33978042384746,1.44041538238525,35996.0,1.16022610664368,11556.396,0.1413,0.001,41.42,0.1
2021-09-18 10:01:28.318,j429.879,hires_j,2459475.917689,0.552568674835733,1.45576870441437,45544.0,1.16907048225403,9505.384,0.1387,0.001,41.08,0.1
2021-09-24 11:23:41.250,j431.74,hires_j,2459481.974783,-3.20360651646232,1.29717743396759,45516.0,1.19879174232483,6747.428,0.1384,0.001,41.21,0.1
2021-09-25 12:14:51.153,j431.290,hires_j,2459483.010314,0.52994801047365,1.25209593772888,45037.0,1.2020947933197,6196.536,0.1304,0.001,41.34,0.1
2021-09-27 13:08:25.599,j431.592,hires_j,2459485.047519,-0.643316129382246,1.20379483699799,46442.0,1.21079790592194,5192.441,0.1426,0.001,41.31,0.1
2021-10-11 09:38:22.335,j433.145,hires_j,2459498.901647,1.33991017422744,1.40345728397369,45007.0,1.21452569961548,-817.313,0.1456,0.001,41.36,0.1
2021-10-15 10:33:45.164,j434.87,hires_j,2459502.940106,-1.00198324771201,1.48278439044952,44973.0,1.21437168121338,-2789.234,0.1447,0.001,41.36,0.1
2021-10-21 09:24:11.053,j436.96,hires_j,2459508.891795,6.62074252650105,1.46282398700714,45169.0,1.21282649040222,-5398.97,0.144,0.001,41.29,0.1
2021-10-22 10:58:38.256,j436.282,hires_j,2459509.957387,8.66647855571685,1.43869626522064,45410.0,1.22595274448395,-6054.933,0.1447,0.001,41.24,0.1
2021-10-24 12:18:52.450,j437.75,hires_j,2459512.013107,11.4984515361749,1.46426963806152,42754.0,1.19234251976013,-7120.942,0.1433,0.001,41.41,0.1
2021-10-26 09:47:13.477,j438.91,hires_j,2459513.907795,0.828748737640481,1.36142063140869,46430.0,1.2205947637558,-7715.674,0.1433,0.001,41.35,0.1
2021-10-29 09:29:16.270,j439.89,hires_j,2459516.895327,-0.661464217510009,1.32314264774323,46088.0,1.22241306304932,-9021.489,0.1439,0.001,41.25,0.1
2021-11-23 09:46:19.930,j442.288,hires_j,2459541.907175,0.728754508060433,1.38936412334442,45160.0,1.19130873680115,-19060.417,0.1516,0.001,41.38,0.1
2021-11-24 08:33:34.717,j442.489,hires_j,2459542.856652,0.050091814335417,1.3391580581665,46581.0,1.21134543418884,-19257.783,0.1528,0.001,41.43,0.1
2021-11-27 08:41:11.652,j442.1196,hires_j,2459545.86194,-4.14631469530391,1.36128509044647,45999.0,1.20563530921936,-20263.248,0.1527,0.001,41.25,0.1
2021-11-28 10:24:26.380,j442.1406,hires_j,2459546.933639,-3.55184743138489,1.41584670543671,46514.0,1.21799671649933,-20769.842,0.1551,0.001,41.27,0.1
2021-12-25 07:04:19.095,j444.78,hires_j,2459573.794665,0.492471978598616,1.26205468177795,45523.0,1.22620701789856,-26336.779,0.1478,0.001,41.48,0.1
2021-12-28 07:21:38.227,j445.83,hires_j,2459576.806692,-7.76512497022162,1.49288439750671,46128.0,1.23827397823334,-26689.259,0.148,0.001,41.45,0.1
2022-01-12 06:35:43.377,j447.66,hires_j,2459591.774808,-4.1524713230865,1.34181308746338,47112.0,1.19236445426941,-27052.25,0.1436,0.001,41.28,0.1
2022-01-13 06:40:15.553,j447.188,hires_j,2459592.777958,-0.0304170265621906,1.30586183071136,47357.0,1.22633862495422,-27020.203,0.1452,0.001,41.42,0.1
2022-01-16 06:44:30.456,j448.82,hires_j,2459595.780908,-3.58108608266113,1.39770412445068,35231.0,1.17461490631104,-26861.033,0.1459,0.001,41.42,0.1
2022-01-19 07:40:57.269,j449.94,hires_j,2459598.820107,-10.2824456249085,1.27895820140839,44928.0,1.22046875953674,-26693.315,0.1358,0.001,41.39,0.1
2022-02-22 05:21:55.095,j452.272,hires_j,2459632.723554,0.267965763953498,1.27847194671631,46015.0,1.1958920955658,-19075.985,0.1536,0.001,41.29,0.1
2022-07-08 14:31:33.221,j476.90,hires_j,2459769.105246,-0.698100264407344,1.41693723201752,45040.0,1.17080926895142,26311.093,0.1456,0.001,41.25,0.1
2022-07-09 14:57:51.878,j476.293,hires_j,2459770.123517,-3.09301133936325,1.8904367685318,11739.0,1.08473896980286,26265.65,0.1474,0.001,41.3,0.1
2022-07-25 14:24:55.337,j480.88,hires_j,2459786.10064,0.862173760784614,1.33320415019989,45433.0,1.20888674259186,25284.729,0.1446,0.001,41.46,0.1
